City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
271,Salalah,OM,75.13,few clouds,17.0151,54.0924,Muscat International Hotel
272,Anori,BR,80.51,overcast clouds,-3.7728,-61.6442,NOVO HOTEL
273,Pochutla,MX,71.82,clear sky,15.7432,-96.4661,Posada San Jose
276,Cordoba,AR,75.99,scattered clouds,-31.4135,-64.1811,Hotel Garden
286,Takoradi,GH,85.73,few clouds,4.8845,-1.7554,Hillcrest
287,George,ZA,70.34,few clouds,-33.963,22.4617,Oakhurst Hotel
288,Santa Fe,AR,86.02,light rain,-31.6333,-60.7,Intersur Hotel
291,Geraldton,AU,70.21,scattered clouds,-28.7667,114.6,Ocean Centre Hotel
296,Souillac,MU,82.78,broken clouds,-20.5167,57.5167,Hotel SkylineInn
302,Rio Grande,BR,73.51,light rain,-32.035,-52.0986,Hotel Vila Moura Executivo
303,Chuy,UY,72.88,overcast clouds,-33.6971,-53.4616,Alerces
309,Mayumba,GA,80.87,overcast clouds,-3.432,10.6554,Résidence Hôtelière Fabso
310,Bull Savanna,JM,75.36,few clouds,17.8868,-77.5902,Junction Guest House
312,Zorritos,PE,78.22,overcast clouds,-3.6805,-80.6782,Hostal Zorritos Plaza
316,Bodden Town,KY,80.01,few clouds,19.2833,-81.25,Turtle Nest Inn
317,Atar,MR,82.09,clear sky,20.5169,-13.0499,فندق سكليل
320,Matara,LK,75.47,scattered clouds,5.9485,80.5353,Villa Palm Breeze
326,Banda Aceh,ID,79.12,heavy intensity rain,5.5577,95.3222,Hotel 61
328,Eyl,SO,79.3,overcast clouds,7.9803,49.8164,فندق ايل دابي
332,Axim,GH,87.33,clear sky,4.8699,-2.2405,Axim Beach Hotel
336,Cootamundra,AU,74.95,few clouds,-34.65,148.0333,Globe Hotel
339,Pontes E Lacerda,BR,83.57,overcast clouds,-15.2261,-59.3353,Hotel Avenida
351,San Cristobal,VE,76.98,broken clouds,7.7669,-72.225,Terra Sur
354,Porto Velho,BR,71.65,moderate rain,-8.7619,-63.9039,Hotel Slaviero Essential Porto Velho
356,Pitimbu,BR,84.31,broken clouds,-7.4706,-34.8086,Pousada Brisa Mar
363,Plettenberg Bay,ZA,70.7,scattered clouds,-34.0527,23.3716,Milkwood Manor
373,Vallenar,CL,74.16,clear sky,-28.5708,-70.7581,Hotel del Marqués
375,Moron,AR,83.97,clear sky,-34.6534,-58.6198,La Esquina
379,Port Elizabeth,ZA,77.31,clear sky,-33.918,25.5701,Waterford Hotel
382,Belo Jardim,BR,87.53,clear sky,-8.3356,-36.4242,Jardim Plaza Hotel
385,Cockburn Town,TC,77.07,broken clouds,21.4612,-71.1419,The Salt Raker Inn
387,Aden,YE,78.21,overcast clouds,12.7794,45.0367,فندق قصر الجزيرة
388,Mana,GF,79.72,overcast clouds,5.6592,-53.7767,Le Samana
389,Clarence Town,AU,72.86,overcast clouds,-32.5833,151.7833,Erringhi Hotel
393,Denpasar,ID,82.06,scattered clouds,-8.65,115.2167,Hotel Candra Adiguna
397,Soc Trang,VN,75.34,overcast clouds,9.6033,105.98,Khách sạn Khánh Hưng
399,Charlestown,AU,72.73,overcast clouds,-32.95,151.6667,Warners Bay Hotel
400,Richards Bay,ZA,88.43,scattered clouds,-28.783,32.0377,Protea Hotel
403,Riberalta,BO,83.79,overcast clouds,-10.9833,-66.1,Hotel Jomali
408,Puerto Escondido,MX,75.43,clear sky,15.85,-97.0667,Hotel Barlovento
409,San Matias,BO,84.81,overcast clouds,-16.3667,-58.4,Hotel San Jose
418,Luganville,VU,78.64,broken clouds,-15.5333,167.1667,Beachfront Resort
429,Meulaboh,ID,77.65,overcast clouds,4.1363,96.1285,Hotel Meuligou
442,Mitsamiouli,KM,83.01,few clouds,-11.3847,43.2844,Hotel le Paradis
456,Garissa,KE,94.12,clear sky,-0.4536,39.6401,Hiddig Hotel
459,Miri,MY,77.43,overcast clouds,4.4148,114.0089,Kenyalang Suites Miri
464,Ellisras,ZA,92.89,clear sky,-23.6649,27.7443,GPS Hotel
476,Kendari,ID,77.27,few clouds,-3.945,122.4989,City Hotel Kendari
477,Mackay,AU,73.69,light rain,-21.15,149.2,Mackay Oceanside Central Apartment Hotel
484,Dzaoudzi,YT,76.89,light rain,-12.7887,45.2699,2.0 hôtel
486,Gilbues,BR,88.84,broken clouds,-9.8317,-45.3439,Hotel Camapua
488,Kloulklubed,PW,72.1,overcast clouds,7.0419,134.2556,The Adventures Inn
498,Agadir,MA,79.25,clear sky,30.4202,-9.5982,Atlantic
500,Brazzaville,CG,87.51,overcast clouds,-4.2658,15.2832,BLISS HOTEL
502,Birnin Kebbi,NG,87.66,overcast clouds,12.4539,4.1975,Fab Hotel
504,Hirara,JP,73.27,overcast clouds,24.8,125.2833,古謝そば屋
505,Unai,BR,80.69,overcast clouds,-16.3575,-46.9061,Hotel Fazenda Curva do Rio
509,Manta,EC,80.38,broken clouds,-0.95,-80.7333,La Gaviota
512,Nova Olimpia,BR,81.34,overcast clouds,-14.7972,-57.2881,Olímpia Hotel
518,Mecca,SA,73.53,overcast clouds,21.4267,39.8261,Rehab Al Marwa Hotel 1
519,Tual,ID,82.99,broken clouds,-5.6667,132.75,Suita
528,Inirida,CO,77.31,light rain,3.8653,-67.9239,Residencias El Turista del Guainia
533,Gopalpur,IN,72.9,clear sky,19.2667,84.9167,Swosti
534,Santiago,CL,80.29,clear sky,-33.4569,-70.6483,apart arturo prat
535,Barinas,VE,81.45,overcast clouds,8.6226,-70.2075,Hotel Comercio
